,date,arrivals,departures
214,2019-08-03,296,296
215,2019-08-04,297,297
216,2019-08-05,295,295
217,2019-08-06,296,296
218,2019-08-07,297,295
219,2019-08-08,304,300
220,2019-08-09,305,305
221,2019-08-10,305,302
222,2019-08-11,301,298
223,2019-08-12,302,298
224,2019-08-13,301,297
225,2019-08-14,302,298
226,2019-08-15,299,297
227,2019-08-16,297,294
228,2019-08-17,296,296
229,2019-08-18,301,298
230,2019-08-19,300,298
231,2019-08-20,300,298
232,2019-08-21,296,295
233,2019-08-22,292,290
234,2019-08-23,292,288
235,2019-08-24,293,288
236,2019-08-25,292,290
237,2019-08-26,293,292
238,2019-08-27,295,292
239,2019-08-28,297,292
240,2019-08-29,297,292
241,2019-08-30,297,293
242,2019-08-31,298,294
243,2019-09-01,299,295
244,2019-09-02,298,293
245,2019-09-03,296,290
246,2019-09-04,294,290
247,2019-09-05,292,288
248,2019-09-06,288,286
249,2019-09-07,286,286
250,2019-09-08,284,285
251,2019-09-09,282,284
252,2019-09-10,281,283
253,2019-09-11,279,281
254,2019-09-12,279,280
255,2019-09-13,279,279
256,2019-09-14,277,275
257,2019-09-15,273,273
258,2019-09-16,271,269
259,2019-09-17,271,270
260,2019-09-18,272,270
261,2019-09-19,275,273
262,2019-09-20,277,276
263,2019-09-21,277,276
264,2019-09-22,280,277
265,2019-09-23,284,281
266,2019-09-24,284,282
267,2019-09-25,284,282
268,2019-09-26,280,280
269,2019-09-27,280,278
270,2019-09-28,283,280
271,2019-09-29,283,281
272,2019-09-30,281,280
273,2019-10-01,283,281
274,2019-10-02,285,283
275,2019-10-03,286,284
276,2019-10-04,285,285
277,2019-10-05,285,286
278,2019-10-06,282,281
279,2019-10-07,279,279
280,2019-10-08,278,277
281,2019-10-09,277,278
282,2019-10-10,277,276
283,2019-10-11,278,277
284,2019-10-12,277,277
285,2019-10-13,285,282
286,2019-10-14,289,287
287,2019-10-15,290,289
288,2019-10-16,290,288
289,2019-10-17,292,289
290,2019-10-18,292,289
291,2019-10-19,291,289
292,2019-10-20,288,289
293,2019-10-21,285,285
294,2019-10-22,284,284
295,2019-10-23,285,284
296,2019-10-24,284,284
297,2019-10-25,284,284
298,2019-10-26,284,282
299,2019-10-27,284,279
300,2019-10-28,292,281
301,2019-10-29,292,282
302,2019-10-30,292,286
303,2019-10-31,292,288
304,2019-11-01,293,288
305,2019-11-02,291,288
306,2019-11-03,291,289
307,2019-11-04,285,287
308,2019-11-05,284,285
309,2019-11-06,283,281
310,2019-11-07,280,277
311,2019-11-08,280,275
312,2019-11-09,278,274
313,2019-11-10,274,274
314,2019-11-11,272,274
315,2019-11-12,274,276
316,2019-11-13,274,277
317,2019-11-14,278,279
318,2019-11-15,277,280
319,2019-11-16,280,282
320,2019-11-17,286,285
321,2019-11-18,289,288
322,2019-11-19,288,288
323,2019-11-20,291,289
324,2019-11-21,290,290
325,2019-11-22,294,293
326,2019-11-23,297,295
327,2019-11-24,294,293
328,2019-11-25,296,294
329,2019-11-26,295,294
330,2019-11-27,294,294
331,2019-11-28,293,294
332,2019-11-29,290,291
333,2019-11-30,289,291
334,2019-12-01,292,293
335,2019-12-02,292,293
336,2019-12-03,293,292
337,2019-12-04,294,293
338,2019-12-05,295,293
339,2019-12-06,296,294
340,2019-12-07,298,295
341,2019-12-08,298,294
342,2019-12-09,297,295
343,2019-12-10,293,293
344,2019-12-11,293,293
345,2019-12-12,294,295
346,2019-12-13,294,295
347,2019-12-14,294,295
348,2019-12-15,292,293
349,2019-12-16,293,291
350,2019-12-17,297,293
351,2019-12-18,296,292
352,2019-12-19,297,292
353,2019-12-20,296,291
354,2019-12-21,295,291
355,2019-12-22,297,294
356,2019-12-23,296,294
357,2019-12-24,295,293
358,2019-12-25,295,293
359,2019-12-26,293,291
360,2019-12-27,293,292
361,2019-12-28,292,292
362,2019-12-29,291,290
363,2019-12-30,291,288
364,2019-12-31,292,290
365,2020-01-01,290,289
366,2020-01-02,291,292
367,2020-01-03,293,294
368,2020-01-04,295,295
369,2020-01-05,296,298
370,2020-01-06,297,298
371,2020-01-07,298,300
372,2020-01-08,299,301
373,2020-01-09,300,299
374,2020-01-10,299,298
375,2020-01-11,298,298
376,2020-01-12,298,298
377,2020-01-13,300,300
378,2020-01-14,300,299
379,2020-01-15,300,300
380,2020-01-16,299,301
381,2020-01-17,301,302
382,2020-01-18,303,304
383,2020-01-19,305,304
384,2020-01-20,304,304
385,2020-01-21,302,303
386,2020-01-22,303,303
387,2020-01-23,303,301
388,2020-01-24,300,299
389,2020-01-25,298,297
390,2020-01-26,297,297
391,2020-01-27,297,297
392,2020-01-28,296,297
393,2020-01-29,297,297
394,2020-01-30,296,298
395,2020-01-31,295,297
396,2020-02-01,297,298
397,2020-02-02,297,296
398,2020-02-03,295,295
399,2020-02-04,297,295
400,2020-02-05,294,294
401,2020-02-06,297,295
402,2020-02-07,297,295
403,2020-02-08,295,294
404,2020-02-09,295,293
405,2020-02-10,295,294
406,2020-02-11,295,294
407,2020-02-12,297,295
408,2020-02-13,295,295
409,2020-02-14,296,295
410,2020-02-15,295,294
411,2020-02-16,294,296
412,2020-02-17,294,295
413,2020-02-18,295,295
